1,Partridge In A Pear Tree,207.68
2,Turtle Dove,62.50
3,French Hen,60.50
4,Calling Bird,149.99
5,Goold Ring,150.00
6,Goose-a-laying,60.00
7,Swan-a-Swimming,1000.00
8,maid-a-Milking,7.25
9,Lady Dancing,839.20
10,Lord-a-Leaping,534.82
11,Piper Piping,239.56
12,Drummer Drumming,237.83
